Top_m,Base_m,Thick_m,VSH_mean,Rdeep_mean,dR_mean,RR_mean
343.967,400.355,56.388,0.010,3832.025,3831.474,7083.487
401.422,411.175,9.754,0.027,2698.741,2698.097,4218.860
